ph,temperature,dissolved_oxygen,salinity,ammonia,nitrite,nitrate,turbidity,wq_status_encoded,shrimp_count,average_weight,feed_amount,feeding_frequency,biomass_kg,aerator_usage,pump_usage,heater_usage,total_energy,energy_cost,energy_efficiency_score,labor_time_spent,labor_worker_count,labor_efficiency_score,labor_tasks_count,labor_next_tasks_count,flag_low_do,flag_critical_do,flag_high_ammonia,flag_critical_ammonia,flag_low_temp,flag_high_temp,flag_ph_out_of_range,alert_count,energy_wq_interaction,feed_per_biomass,action_type,urgency
8.252198111876005,28.669882107333656,5.728325932682532,17.705179548715947,0.09499328838629073,0.08596131018043635,5.079606259381494,4.559222590235694,4.0,10572.0,12.532175981528546,1126.1947487255286,4.0,132.4901644767198,20.0,12.0,10.0,42.0,5.04,0.9,1.5,1.0,0.9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7200000000000001,8.500213983230546,0,0.0
7.365139110182841,24.638073391389973,4.380447943203769,21.6926791806033,0.19570693032756242,0.03546709163011174,0.14147516000824756,4.407398662716236,2.0,10594.0,10.969125035079351,1670.1731848988798,2.0,116.20691062163064,30.0,12.0,15.0,57.0,6.84,0.8,2.0,1.0,0.7000000000000001,4.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.32000000000000006,14.372408456300493,1,0.8
7.616714601619608,27.09458346743124,7.2393906036038524,19.67622878460656,0.311095835326756,0.08130469392554202,9.50245281694519,4.9750294540159326,3.0,9499.0,11.9948298556603,807.2457512779037,3.0,113.93888879891718,20.0,15.600000000000001,10.0,45.6,5.4719999999999995,0.8,3.5,2.0,0.8,7.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.48,7.084901035875078,3,0.9
6.768457558571366,24.9935000404427,3.475891334115614,17.59862185073333,0.18532969818930572,0.03439787878858293,5.11298646386231,1.3276763736923942,1.0,10408.0,13.328606238114226,2375.2482915117735,2.0,138.72413372629288,30.0,12.0,15.0,57.0,6.84,0.6,3.75,3.0,0.6000000000000001,5.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.12,17.12209856864714,5,1.0
7.071580974488742,24.87391312762155,5.79969460864839,17.37124597660547,0.2675826062408603,0.024095374295377437,5.346449976149449,0.7346670913872899,2.0,8412.0,11.209885592750753,1086.3789613316483,2.0,94.29755760621934,20.0,15.600000000000001,15.0,50.6,6.072,0.8,4.0,2.0,0.7000000000000001,8.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.32000000000000006,11.520753971892871,3,0.6
8.795348842857692,27.235661708975147,6.805564426492794,20.99777310324535,0.17157089339224826,0.08265267226124534,6.582696671657507,4.0740294459575495,4.0,8008.0,8.352750464057687,863.7115833122813,3.0,66.88882571617395,20.0,12.0,10.0,42.0,5.04,0.9,1.5,1.0,0.9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7200000000000001,12.91264383945423,0,0.0
8.724813788263779,27.191600497803524,7.7719185272659885,15.645767789160256,0.16003056134240184,0.018690634407967123,3.0636862309678934,1.291121572018995,3.0,10900.0,8.880830012733927,1364.7770932376982,3.0,96.80104713879982,20.0,12.0,10.0,42.0,5.04,0.8,1.5,1.0,0.8,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48,14.098784399313258,7,0.0
8.307470642101755,28.31557572445918,5.7560065370753755,24.30101928606825,0.13825546474303144,0.09796502077663939,8.656483859075705,0.5956800819538471,4.0,11993.0,10.46830067529588,1567.6754156636487,4.0,125.5463299988235,20.0,12.0,10.0,42.0,5.04,0.9,1.5,1.0,0.9,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7200000000000001,12.486827895951555,0,0.0
6.888182797883919,24.63301469503408,3.1061022576985096,20.667982173314886,0.11598166345406553,0.01519537207925209,1.2092576798588062,3.104124348302137,1.0,8611.0,13.545754699965016,1583.3388859663726,2.0,116.64249372139876,30.0,12.0,15.0,57.0,6.84,0.6,3.75,3.0,0.6000000000000001,5.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.12,13.574288712895545,5,1.0
6.79587191620861,24.295099969750467,6.617829700661565,16.338069350015747,0.526371405496542,0.001064499171386235,7.702942327081823,0.5875911617074703,1.0,9434.0,8.407813238362777,1096.5707722191867,2.0,79.31931009071444,20.0,15.600000000000001,15.0,50.6,6.072,0.6,4.5,3.0,0.6000000000000001,6.0,11.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.12,13.824764372825241,3,0.9
